time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,X_GYRO_LWR_raw,Y_GYRO_LWR_raw,Z_GYRO_LWR_raw,X_ACCL_LWR_raw,Y_ACCL_LWR_raw,Z_ACCL_LWR_raw
0.062010,62.010300,-0.180743,-0.091156,0.095195,0.067155,-0.949318,-0.312232,-118452,-59740,62387,3520834,-49771624,-16369939
0.063040,63.039720,0.011972,-0.287555,-0.149605,0.064127,-0.950440,-0.307799,7846,-188452,-98045,3362110,-49830429,-16137532
0.064020,64.020120,-0.182135,-0.138596,-0.099614,0.066069,-0.946537,-0.309114,-119364,-90830,-65283,3463919,-49625779,-16206450
0.065050,65.049540,-0.085002,0.010796,-0.002864,0.066536,-0.949476,-0.309786,-55707,7075,-1877,3488417,-49779898,-16241702
0.066030,66.029940,0.063425,-0.143039,0.288393,0.067794,-0.946633,-0.309103,41566,-93742,189001,3554370,-49630838,-16205907
0.067010,67.010340,0.012743,0.009824,0.093895,0.066008,-0.947951,-0.309411,8351,6438,61535,3460732,-49699935,-16222064
0.068040,68.039760,-0.035341,0.108542,0.191618,0.068319,-0.950786,-0.309122,-23161,71134,125579,3581868,-49848584,-16206921
0.069020,69.020160,-0.132901,0.258540,0.192258,0.068446,-0.948986,-0.311082,-87098,169437,125998,3588520,-49754201,-16309651
0.070050,70.049580,0.010524,0.262444,-0.052229,0.066940,-0.946318,-0.305522,6897,171995,-34229,3509569,-49614304,-16018175
0.071030,71.029980,0.203447,0.015924,-0.297026,0.064590,-0.949487,-0.305861,133331,10436,-194659,3386358,-49780483,-16035943
0.072010,72.010380,-0.135286,0.162988,-0.148659,0.065975,-0.952994,-0.303411,-88661,106816,-97425,3458995,-49964348,-15907472
0.073040,73.039800,0.108891,0.011819,-0.004160,0.062850,-0.948611,-0.307126,71363,7746,-2726,3295136,-49734518,-16102254
0.074020,74.020200,-0.035918,-0.139098,-0.003180,0.066663,-0.950181,-0.309496,-23539,-91159,-2084,3495069,-49816826,-16226514
0.075050,75.049620,-0.227408,-0.243433,0.241724,0.064966,-0.948664,-0.307271,-149034,-159536,158416,3406072,-49737295,-16109833
0.076030,76.030020,0.157961,0.060783,0.093094,0.064565,-0.948320,-0.308730,103521,39835,61010,3385050,-49719288,-16186328
0.077010,77.010420,0.208440,-0.041959,0.287589,0.064794,-0.951504,-0.311264,136603,-27498,188474,3397077,-49886229,-16319203
0.078040,78.039840,-0.181744,0.059492,0.095363,0.064065,-0.949111,-0.308821,-119108,38989,62497,3358872,-49760775,-16191140
0.079020,79.020240,-0.132074,0.057664,0.241150,0.065625,-0.952440,-0.312617,-86556,37791,158040,3440651,-49935290,-16390127
0.080050,80.049660,-0.086003,0.161446,-0.002696,0.066209,-0.948738,-0.311175,-56363,105805,-1767,3471283,-49741220,-16314517
0.081030,81.030060,-0.085400,0.110652,0.046010,0.065742,-0.948025,-0.307410,-55968,72517,30153,3446778,-49703836,-16117134
0.082010,82.010460,0.010573,-0.136234,-0.198138,0.067404,-0.949022,-0.306503,6929,-89282,-129852,3533889,-49756102,-16069603
0.083040,83.039880,0.059834,-0.037817,-0.052357,0.065294,-0.949480,-0.306485,39213,-24784,-34313,3423279,-49780088,-16068631
0.084020,84.020280,-0.230812,0.010527,-0.001715,0.069288,-0.949552,-0.307566,-151265,6899,-1124,3632671,-49783875,-16125327
0.085050,85.049700,-0.233011,0.064001,-0.245233,0.064818,-0.950486,-0.312436,-152706,41944,-160716,3398317,-49832857,-16380633
0.086030,86.030100,-0.134868,0.062358,-0.099773,0.066641,-0.950879,-0.307564,-88387,40867,-65387,3493900,-49853469,-16125208
0.087011,87.010500,0.012772,-0.189709,0.045380,0.067691,-0.947256,-0.307425,8370,-124328,29740,3548935,-49663508,-16117926
0.088040,88.039920,-0.133865,0.010896,-0.002364,0.066003,-0.950660,-0.309741,-87730,7141,-1549,3460476,-49841946,-16239325
0.089020,89.020320,0.011778,-0.237819,-0.100725,0.064966,-0.948505,-0.306908,7719,-155857,-66011,3406068,-49728968,-16090815
0.090050,90.049740,-0.132260,-0.091359,0.143750,0.066785,-0.950294,-0.308820,-86678,-59873,94208,3501465,-49822769,-16191070
0.091030,91.030140,-0.327147,-0.140205,-0.001059,0.066308,-0.949949,-0.309609,-214399,-91885,-694,3476446,-49804695,-16232450
0.092011,92.010540,0.011555,0.011449,-0.003334,0.063540,-0.947345,-0.306863,7573,7503,-2185,3331329,-49668156,-16088484
0.093040,93.039960,-0.182133,-0.039409,-0.002036,0.069658,-0.948018,-0.307748,-119363,-25827,-1334,3652093,-49703461,-16134867
