time_s,time_ms,gyro_x_deg_s,gyro_y_deg_s,gyro_z_deg_s,accel_x_g,accel_y_g,accel_z_g,GX_raw,GY_raw,GZ_raw,AX_raw,AY_raw,AZ_raw
0.053000,53.000000,-0.242986,-0.047985,-0.022183,-0.038540,0.951956,0.300246,-0.242986,-0.047985,-0.022183,-0.038540,0.951956,0.300246
0.054000,54.000000,-0.290281,-0.038926,-0.005223,-0.038670,0.951964,0.299698,-0.290281,-0.038926,-0.005223,-0.038670,0.951964,0.299698
0.055000,55.000000,-0.015474,0.049435,-0.003166,-0.038510,0.952893,0.300210,-0.015474,0.049435,-0.003166,-0.038510,0.952893,0.300210
0.056000,56.000000,0.103814,0.050794,-0.022716,-0.037917,0.953670,0.299769,0.103814,0.050794,-0.022716,-0.037917,0.953670,0.299769
0.057000,57.000000,0.068214,0.064736,-0.033177,-0.037681,0.954221,0.299660,0.068214,0.064736,-0.033177,-0.037681,0.954221,0.299660
0.058000,58.000000,-0.040936,0.074497,-0.015278,-0.037714,0.954264,0.300098,-0.040936,0.074497,-0.015278,-0.037714,0.954264,0.300098
0.059000,59.000000,-0.067698,0.136054,0.015093,-0.038186,0.954000,0.300486,-0.067698,0.136054,0.015093,-0.038186,0.954000,0.300486
0.060000,60.000000,-0.035168,0.058072,0.022072,-0.038578,0.953753,0.300585,-0.035168,0.058072,0.022072,-0.038578,0.953753,0.300585
0.061000,61.000000,0.031542,0.020242,0.003629,-0.038851,0.953971,0.301260,0.031542,0.020242,0.003629,-0.038851,0.953971,0.301260
0.062000,62.000000,0.000633,-0.008985,-0.007288,-0.039204,0.953841,0.300498,0.000633,-0.008985,-0.007288,-0.039204,0.953841,0.300498
0.063000,63.000000,-0.033137,-0.069470,-0.022727,-0.039476,0.953437,0.300316,-0.033137,-0.069470,-0.022727,-0.039476,0.953437,0.300316
0.064000,64.000000,-0.106797,-0.043882,-0.018931,-0.039167,0.952508,0.300736,-0.106797,-0.043882,-0.018931,-0.039167,0.952508,0.300736
0.065000,65.000000,-0.071113,-0.124741,0.001352,-0.038534,0.952553,0.300277,-0.071113,-0.124741,0.001352,-0.038534,0.952553,0.300277
0.066000,66.000000,0.017860,-0.117240,0.018768,-0.038473,0.952843,0.299980,0.017860,-0.117240,0.018768,-0.038473,0.952843,0.299980
0.067000,67.000000,-0.059231,-0.035802,0.003716,-0.038649,0.952828,0.299815,-0.059231,-0.035802,0.003716,-0.038649,0.952828,0.299815
0.068000,68.000000,-0.032318,0.030232,-0.020209,-0.038325,0.952179,0.300051,-0.032318,0.030232,-0.020209,-0.038325,0.952179,0.300051
0.069000,69.000000,0.026410,0.039093,-0.033048,-0.038427,0.952020,0.300112,0.026410,0.039093,-0.033048,-0.038427,0.952020,0.300112
0.070000,70.000000,-0.019526,0.028007,-0.062088,-0.038355,0.951518,0.300407,-0.019526,0.028007,-0.062088,-0.038355,0.951518,0.300407
0.071000,71.000000,-0.110514,0.025741,-0.041984,-0.038527,0.952039,0.299829,-0.110514,0.025741,-0.041984,-0.038527,0.952039,0.299829
0.072000,72.000000,-0.071502,0.024712,-0.030939,-0.038483,0.951702,0.299317,-0.071502,0.024712,-0.030939,-0.038483,0.951702,0.299317
0.073000,73.000000,-0.108409,-0.009063,-0.021489,-0.038845,0.951441,0.299661,-0.108409,-0.009063,-0.021489,-0.038845,0.951441,0.299661
0.074000,74.000000,-0.003829,-0.030227,0.026683,-0.038932,0.951191,0.299469,-0.003829,-0.030227,0.026683,-0.038932,0.951191,0.299469
0.075000,75.000000,0.101145,-0.055781,-0.001789,-0.038767,0.951129,0.299051,0.101145,-0.055781,-0.001789,-0.038767,0.951129,0.299051
0.076000,76.000000,0.012936,-0.054839,-0.028115,-0.039192,0.951018,0.298765,0.012936,-0.054839,-0.028115,-0.039192,0.951018,0.298765
0.077000,77.000000,0.011712,0.011636,-0.047943,-0.038924,0.951086,0.298786,0.011712,0.011636,-0.047943,-0.038924,0.951086,0.298786
0.078000,78.000000,-0.002542,0.034042,-0.072546,-0.038399,0.951200,0.298882,-0.002542,0.034042,-0.072546,-0.038399,0.951200,0.298882
0.079000,79.000000,0.001215,0.066479,-0.012213,-0.039017,0.951504,0.298818,0.001215,0.066479,-0.012213,-0.039017,0.951504,0.298818
0.080000,80.000000,-0.144162,0.028015,-0.016745,-0.040183,0.951672,0.299183,-0.144162,0.028015,-0.016745,-0.040183,0.951672,0.299183
0.081000,81.000000,-0.233425,-0.067361,-0.043980,-0.040277,0.951711,0.299731,-0.233425,-0.067361,-0.043980,-0.040277,0.951711,0.299731
0.082000,82.000000,-0.268463,-0.083928,-0.037392,-0.039840,0.951534,0.299489,-0.268463,-0.083928,-0.037392,-0.039840,0.951534,0.299489
0.083000,83.000000,-0.270283,-0.100045,-0.022524,-0.039547,0.951773,0.299147,-0.270283,-0.100045,-0.022524,-0.039547,0.951773,0.299147
0.084000,84.000000,-0.190779,-0.150855,-0.019339,-0.038910,0.952566,0.299613,-0.190779,-0.150855,-0.019339,-0.038910,0.952566,0.299613
0.085000,85.000000,-0.091842,-0.162674,0.007511,-0.038382,0.952662,0.300188,-0.091842,-0.162674,0.007511,-0.038382,0.952662,0.300188
0.086000,86.000000,0.046542,-0.046570,0.033187,-0.038442,0.952505,0.300699,0.046542,-0.046570,0.033187,-0.038442,0.952505,0.300699
0.087000,87.000000,-0.025624,-0.058516,0.073333,-0.038549,0.952192,0.300825,-0.025624,-0.058516,0.073333,-0.038549,0.952192,0.300825
0.088000,88.000000,-0.002180,-0.016217,0.036464,-0.038482,0.952671,0.300853,-0.002180,-0.016217,0.036464,-0.038482,0.952671,0.300853
0.089000,89.000000,0.030279,-0.019345,-0.012207,-0.038188,0.953704,0.300020,0.030279,-0.019345,-0.012207,-0.038188,0.953704,0.300020
0.090000,90.000000,0.064251,-0.053609,-0.017622,-0.038208,0.953490,0.300008,0.064251,-0.053609,-0.017622,-0.038208,0.953490,0.300008
0.091000,91.000000,-0.014652,0.025036,0.054256,-0.038766,0.953719,0.300381,-0.014652,0.025036,0.054256,-0.038766,0.953719,0.300381
0.092000,92.000000,-0.008381,0.050873,0.071234,-0.038806,0.954425,0.300837,-0.008381,0.050873,0.071234,-0.038806,0.954425,0.300837
0.093000,93.000000,0.032558,-0.002568,0.035434,-0.038541,0.954227,0.300760,0.032558,-0.002568,0.035434,-0.038541,0.954227,0.300760
0.094000,94.000000,-0.083018,0.010720,0.027279,-0.038576,0.953803,0.300468,-0.083018,0.010720,0.027279,-0.038576,0.953803,0.300468
0.095000,95.000000,-0.084176,-0.006047,0.004975,-0.038769,0.953333,0.299752,-0.084176,-0.006047,0.004975,-0.038769,0.953333,0.299752
0.096000,96.000000,-0.224247,-0.009359,0.007472,-0.039095,0.953311,0.299582,-0.224247,-0.009359,0.007472,-0.039095,0.953311,0.299582
0.097000,97.000000,-0.098941,-0.011037,-0.026149,-0.039265,0.954047,0.299628,-0.098941,-0.011037,-0.026149,-0.039265,0.954047,0.299628
0.098000,98.000000,-0.062421,-0.077426,-0.067068,-0.039122,0.954223,0.299543,-0.062421,-0.077426,-0.067068,-0.039122,0.954223,0.299543
0.099000,99.000000,0.038882,-0.119815,-0.050884,-0.038807,0.953891,0.299616,0.038882,-0.119815,-0.050884,-0.038807,0.953891,0.299616
0.100000,100.000000,0.137272,-0.070541,0.005351,-0.039195,0.953446,0.299547,0.137272,-0.070541,0.005351,-0.039195,0.953446,0.299547
0.101000,101.000000,0.061324,-0.032142,0.026065,-0.039662,0.953251,0.299904,0.061324,-0.032142,0.026065,-0.039662,0.953251,0.299904
0.102000,102.000000,0.036652,-0.049329,0.004879,-0.039869,0.953297,0.299899,0.036652,-0.049329,0.004879,-0.039869,0.953297,0.299899
0.103000,103.000000,-0.082807,-0.053438,-0.012599,-0.039826,0.953396,0.299897,-0.082807,-0.053438,-0.012599,-0.039826,0.953396,0.299897
0.104000,104.000000,-0.185495,-0.060932,-0.016585,-0.039347,0.953421,0.299614,-0.185495,-0.060932,-0.016585,-0.039347,0.953421,0.299614
0.105000,105.000000,-0.123931,-0.082229,-0.024939,-0.039139,0.952316,0.299271,-0.123931,-0.082229,-0.024939,-0.039139,0.952316,0.299271
0.106000,106.000000,-0.055591,-0.059964,-0.000738,-0.039093,0.952142,0.299279,-0.055591,-0.059964,-0.000738,-0.039093,0.952142,0.299279
0.107000,107.000000,0.074527,0.004861,0.030917,-0.039359,0.952467,0.299562,0.074527,0.004861,0.030917,-0.039359,0.952467,0.299562
0.108000,108.000000,0.165854,-0.006244,-0.014285,-0.039887,0.952548,0.299540,0.165854,-0.006244,-0.014285,-0.039887,0.952548,0.299540
0.109000,109.000000,0.082480,0.003964,0.015472,-0.040103,0.953406,0.300271,0.082480,0.003964,0.015472,-0.040103,0.953406,0.300271
0.110000,110.000000,0.082023,-0.019923,0.055596,-0.040153,0.953521,0.300725,0.082023,-0.019923,0.055596,-0.040153,0.953521,0.300725
0.111000,111.000000,-0.005447,-0.025264,0.025727,-0.040351,0.953085,0.300931,-0.005447,-0.025264,0.025727,-0.040351,0.953085,0.300931
0.112000,112.000000,-0.047039,-0.059821,0.005227,-0.040302,0.953067,0.300702,-0.047039,-0.059821,0.005227,-0.040302,0.953067,0.300702
0.113000,113.000000,0.029322,-0.048034,-0.046905,-0.040288,0.952968,0.300741,0.029322,-0.048034,-0.046905,-0.040288,0.952968,0.300741
0.114000,114.000000,0.047247,-0.104435,-0.006325,-0.039732,0.953591,0.300373,0.047247,-0.104435,-0.006325,-0.039732,0.953591,0.300373
0.115000,115.000000,-0.009366,-0.184500,0.017073,-0.039421,0.953464,0.299728,-0.009366,-0.184500,0.017073,-0.039421,0.953464,0.299728
0.116000,116.000000,-0.121837,-0.177680,0.023518,-0.039901,0.953528,0.299947,-0.121837,-0.177680,0.023518,-0.039901,0.953528,0.299947
0.117000,117.000000,-0.121170,-0.030299,0.044765,-0.040384,0.953273,0.300374,-0.121170,-0.030299,0.044765,-0.040384,0.953273,0.300374
0.118000,118.000000,-0.154266,-0.001329,0.017038,-0.040599,0.952660,0.300388,-0.154266,-0.001329,0.017038,-0.040599,0.952660,0.300388
0.119000,119.000000,-0.001626,0.038127,0.009220,-0.040835,0.952787,0.300023,-0.001626,0.038127,0.009220,-0.040835,0.952787,0.300023
0.120000,120.000000,0.167966,0.013695,-0.006551,-0.040801,0.953092,0.299563,0.167966,0.013695,-0.006551,-0.040801,0.953092,0.299563
0.121000,121.000000,0.162009,0.015090,-0.023385,-0.040710,0.952052,0.298345,0.162009,0.015090,-0.023385,-0.040710,0.952052,0.298345
0.122000,122.000000,0.120928,0.035074,-0.007203,-0.040878,0.951708,0.298329,0.120928,0.035074,-0.007203,-0.040878,0.951708,0.298329
0.123000,123.000000,0.084185,0.086415,-0.003132,-0.040632,0.951898,0.298042,0.084185,0.086415,-0.003132,-0.040632,0.951898,0.298042
0.124000,124.000000,-0.050661,0.158871,0.018494,-0.040193,0.952041,0.298248,-0.050661,0.158871,0.018494,-0.040193,0.952041,0.298248
0.125000,125.000000,-0.176925,0.103723,0.010772,-0.040555,0.952732,0.298486,-0.176925,0.103723,0.010772,-0.040555,0.952732,0.298486
0.126000,126.000000,-0.108633,-0.008730,0.001802,-0.040460,0.953078,0.298355,-0.108633,-0.008730,0.001802,-0.040460,0.953078,0.298355
0.127000,127.000000,-0.072527,0.017555,0.019266,-0.039601,0.952599,0.298596,-0.072527,0.017555,0.019266,-0.039601,0.952599,0.298596
0.128000,128.000000,-0.084275,-0.049179,0.003959,-0.039760,0.952576,0.299212,-0.084275,-0.049179,0.003959,-0.039760,0.952576,0.299212
0.129000,129.000000,0.052870,-0.111872,-0.000503,-0.039986,0.953313,0.299452,0.052870,-0.111872,-0.000503,-0.039986,0.953313,0.299452
0.130000,130.000000,0.039834,-0.073037,-0.007849,-0.039760,0.953863,0.299693,0.039834,-0.073037,-0.007849,-0.039760,0.953863,0.299693
0.131000,131.000000,-0.002218,-0.057213,0.023817,-0.039615,0.953900,0.299565,-0.002218,-0.057213,0.023817,-0.039615,0.953900,0.299565
0.132000,132.000000,-0.098100,-0.061568,-0.001408,-0.039397,0.953353,0.299165,-0.098100,-0.061568,-0.001408,-0.039397,0.953353,0.299165
0.133000,133.000000,-0.081114,-0.043854,0.012092,-0.039995,0.953042,0.299071,-0.081114,-0.043854,0.012092,-0.039995,0.953042,0.299071
