X_GYRO_LWR,Y_GYRO_LWR,Z_GYRO_LWR,X_ACCL_LWR,Y_ACCL_LWR,Z_ACCL_LWR,DATA_CNTR,TIME_STAMP_LWR,USB_TIMESTAMP_MS
11588,-94352,30419,4030028,-49311140,-17561823,11467,6263,140.0077
-51962,35919,94671,3880971,-49309984,-17280809,11468,6283,140.0077
202968,35566,188728,3915453,-49289160,-17327966,11469,6304,140.0077
11434,134265,126159,3925598,-49299593,-17404772,11470,6324,140.0077
-21634,71085,-65131,4012703,-49508200,-17355370,11471,6344,140.0077
74474,-125640,-65756,4015565,-49363493,-17154183,11472,6365,140.0077
-20461,101735,94455,4223028,-49546444,-17259107,11473,6385,140.0077
9202,235884,-97271,4156933,-49360025,-17252698,11474,6406,140.0077
9478,104930,-129122,3991319,-49444701,-17358739,11475,6426,140.0077
169765,5233,-2506,3916898,-49346028,-17104944,11476,6446,140.0077
-53931,137098,-96782,4086606,-49180042,-17315071,11477,6467,157.5263
-146462,-161707,95378,4090014,-49072291,-17112343,11478,6487,157.5263
-115637,133604,127065,3935404,-49083134,-17333354,11479,6508,157.5263
10792,37300,-1448,4096541,-49017662,-17418399,11480,6528,157.5263
-20970,-28076,-33149,4069211,-48912306,-17184813,11481,6548,157.5263
-116153,69226,31316,4182167,-49052658,-17121800,11482,6569,157.5263
202318,3859,93035,4085518,-49064401,-17203498,11483,6589,157.5263
43605,35664,126010,4190114,-49082037,-17325278,11484,6610,157.5263
74576,167615,93873,4161753,-49232062,-17174092,11485,6630,157.5263
-19536,2135,158355,4001495,-49250788,-17264620,11486,6650,157.5263
107944,-161180,125598,3894248,-49344277,-17142287,11487,6671,157.5263
106752,3936,61753,3795253,-49341758,-17256973,11488,6691,157.5263
106370,-93289,-33993,3982471,-49330773,-17118681,11489,6712,157.5263
169384,-92170,-98253,3950582,-49401052,-17101256,11490,6732,157.5263
172010,-291010,29424,3930722,-49617404,-17131486,11491,6752,157.5263
75506,-60999,-1871,3877568,-49361429,-17289878,11492,6773,157.5263
236189,-193982,156665,3930396,-49592728,-17133208,11493,6793,157.5263
-52089,-60603,-64858,3726369,-49585551,-17314899,11494,6814,174.5322
42419,71589,-97420,3861320,-49540722,-17323697,11495,6834,174.5322
12485,3138,94302,3818356,-49564017,-17365802,11496,6854,174.5322
139432,-28788,61538,3814851,-49575945,-17227068,11497,6875,174.5322
43082,-27393,-65496,4077645,-49595741,-17345837,11498,6895,174.5322
-50260,-63678,158566,3962781,-49607428,-17342642,11499,6916,174.5322
42539,169255,-33590,3932673,-49323586,-17247481,11500,6936,174.5322
-20722,38061,-65076,4000266,-49337540,-17363347,11501,6956,174.5322
12613,35546,126218,3978434,-49345359,-17158322,11502,6977,174.5322
42687,5893,-97386,3979837,-49293887,-17151344,11503,6997,174.5322
105956,71830,-97784,4041175,-49328866,-17381605,11504,7018,174.5322
74984,-60120,-65647,4064090,-49332417,-17296481,11505,7038,174.5322
45305,-63578,189906,4149310,-49178139,-16995060,11506,7058,174.5322
-52223,-27578,-64800,4216558,-49229993,-17372753,11507,7079,174.5322
-20207,102616,30732,4055865,-49288738,-17121718,11508,7099,174.5322
-20602,135903,-1188,4134231,-49352079,-17281773,11509,7120,174.5322
-19550,68889,94569,4192850,-49306459,-17390614,11510,7140,174.5322
107261,69811,61803,3898689,-49443973,-17446455,11511,7160,191.5271
-52103,70086,-971,3859850,-49239961,-17196996,11512,7181,191.5271
44381,35842,126065,4062010,-49205319,-17425288,11513,7201,191.5271
43477,-60503,-33517,3920870,-49269021,-17501822,11514,7222,191.5271
43081,-27217,-65437,3919865,-49307560,-17332353,11515,7242,191.5271
106330,234489,29876,3784115,-49338634,-17516086,11516,7262,191.5271
-20214,167871,62646,4088706,-49386363,-17512521,11517,7283,191.5271
11709,-60624,-33305,3943942,-49389127,-17183842,11518,7303,191.5271
74448,71448,-65655,3842235,-49339364,-17310301,11519,7324,191.5271
11567,37479,-1393,4093145,-49369278,-17333913,11520,7344,191.5271
-180207,-59152,-191620,3822072,-49168284,-17135842,11521,7364,191.5271
74843,38160,-33735,3914699,-49237829,-17358099,11522,7385,191.5271
-19684,101737,94567,4025640,-49365659,-17232709,11523,7405,191.5271
74836,103416,-1821,3938487,-49290506,-17201224,11524,7426,191.5271
11173,70767,-33313,3960646,-49194764,-16961557,11525,7446,191.5271
-50916,-29775,94787,3836783,-49365802,-17215788,11526,7466,191.5271
-147394,-60788,-64162,3884945,-49560203,-17081427,11527,7487,191.5271
74595,-91913,-129480,3867546,-49382152,-17296687,11528,7507,208.5309
-83207,-29016,31164,3832179,-49303819,-17117461,11529,7528,208.5309
-82557,2512,126915,3776997,-49498091,-17182866,11530,7548,208.5309
-115244,36559,31314,3781734,-49428619,-17343565,11531,7568,208.5309
-19799,-61182,-1293,3892806,-49431245,-17305412,11532,7589,208.5309
-20583,-59864,-97046,3831009,-49392580,-17188804,11533,7609,208.5309
106745,5083,-34063,4018955,-49349601,-17327906,11534,7630,208.5309
-17701,-130306,222135,3748790,-49370720,-17112319,11535,7650,208.5309
-83335,-61776,-869,3954638,-49463621,-17352811,11536,7670,208.5309
-51446,36009,62748,3955184,-49202496,-17398779,11537,7691,208.5309
-19550,68538,94451,4030660,-49320906,-17404133,11538,7711,208.5309
106216,71217,-65985,4041748,-49361619,-17315484,11539,7732,208.5309
11574,-28127,-33424,4252672,-49317960,-17338414,11540,7752,208.5309
10255,104582,-129186,3872421,-49454283,-17324433,11541,7772,208.5309
202191,-92659,-66610,3873223,-49201224,-17322823,11542,7793,208.5309
12218,68659,94239,4108082,-49387284,-17224397,11543,7813,208.5309
10115,202685,-97274,3965880,-49224862,-17349494,11544,7834,208.5309
10663,-59218,-161094,4016654,-49208147,-17460881,11545,7854,225.5279
42546,103823,-65562,4017822,-49077681,-17205997,11546,7874,225.5279
13020,-63612,158085,3963358,-49166987,-17259505,11547,7895,225.5279
76034,-62491,93825,3978927,-49401133,-17202665,11548,7915,225.5279
140087,2127,189150,3994227,-49333302,-17292813,11549,7936,225.5279
106616,37490,-2146,4019762,-49269560,-17401615,11550,7956,225.5279
106610,102746,29768,4076381,-49165525,-17256637,11551,7976,225.5279
106222,70777,-34065,3913354,-49464340,-17430049,11552,7997,225.5279
44132,-29764,94035,3858733,-49530873,-17439683,11553,8017,225.5279
11178,69976,-1511,3855128,-49492858,-17128114,11554,8038,225.5279
11834,36250,62326,3880629,-49408298,-17157816,11555,8058,225.5279
9764,-156004,-288757,4043170,-49443527,-17217241,11556,8078,225.5279
-84261,102461,-877,3960345,-49407705,-17285599,11557,8099,225.5279
10790,38007,-65344,4026320,-49590076,-17312682,11558,8119,225.5279
233422,103667,-2910,3881223,-49486900,-17301801,11559,8140,225.5279
232921,-91224,-162398,3967140,-49554955,-17049221,11560,8160,225.5279
75112,36928,30160,3711801,-49512926,-17077305,11561,8180,225.5279
138380,103040,29732,3562843,-49607592,-17156419,11562,8201,242.6227
297629,-60156,-3236,3950723,-49400894,-17057464,11563,8221,242.6227
44421,-291056,-1525,3809836,-49335102,-17167482,11564,8242,242.6227
-146737,-29877,63566,4116699,-49409678,-17204146,11565,8262,242.6227
138921,-93607,-2173,4098198,-49547495,-17125404,11566,8282,242.6227
202719,-93805,29320,3825632,-49291774,-17169162,11567,8303,242.6227
